,PROPERTY_ID,Year,Avg_RentActual
0,101_1,2016,99.09166666666668
1,101_1,2017,98.39999999999999
2,101_1,2018,99.41666666666667
3,101_1,2019,94.91666666666667
4,101_1,2020,93.69166666666668
5,101_1,2021,93.10833333333333
6,101_1,2022,96.25
7,101_1002,2016,98.20833333333333
8,101_1002,2017,98.05833333333335
9,101_1002,2018,97.64166666666667
10,101_1002,2019,98.5
11,101_1002,2020,97.89999999999999
12,101_1002,2021,97.86666666666666
13,101_1002,2022,97.69999999999999
14,101_1006,2016,94.61666666666669
15,101_1006,2017,94.49166666666669
16,101_1006,2018,94.99166666666669
17,101_1006,2019,92.79999999999997
18,101_1006,2020,92.82499999999999
19,101_1006,2021,94.42500000000001
20,101_1006,2022,95.45
21,101_1007,2016,95.40833333333335
22,101_1007,2017,94.11666666666667
23,101_1007,2018,95.89166666666667
24,101_1007,2019,96.34166666666668
25,101_1007,2020,97.125
26,101_1007,2021,98.9666666666667
27,101_1007,2022,98.85
28,101_1008,2016,98.05833333333332
29,101_1008,2017,98.76666666666667
30,101_1008,2018,98.80833333333334
31,101_1008,2019,98.77499999999999
32,101_1008,2020,97.39999999999999
33,101_1008,2021,98.66666666666664
34,101_1008,2022,98.575
35,101_1013,2016,100.0
36,101_1013,2017,100.0
37,101_1013,2018,100.0
38,101_1013,2019,100.0
39,101_1013,2020,100.0
40,101_1013,2021,100.0
41,101_1013,2022,100.0
42,101_1014,2016,96.58333333333333
43,101_1014,2017,93.14999999999999
44,101_1014,2018,95.28333333333336
45,101_1014,2019,94.325
46,101_1014,2020,95.20000000000003
47,101_1014,2021,95.65833333333335
48,101_1014,2022,97.225
49,101_1015,2016,100.0
50,101_1015,2017,98.24166666666666
51,101_1015,2018,99.325
52,101_1015,2019,99.31666666666666
53,101_1015,2020,98.30000000000001
54,101_1015,2021,97.80833333333332
55,101_1015,2022,97.57500000000002
56,101_1017,2016,98.60833333333333
57,101_1017,2017,99.43333333333332
58,101_1017,2018,99.02499999999999
59,101_1017,2019,98.45833333333333
60,101_1017,2020,100.0
61,101_1017,2021,100.0
62,101_1017,2022,100.0
63,101_1018,2016,95.27499999999998
64,101_1018,2017,95.75
65,101_1018,2018,94.675
66,101_1018,2019,94.60000000000002
67,101_1018,2020,91.39166666666667
68,101_1018,2021,93.60833333333333
69,101_1018,2022,92.3
70,101_1019,2016,95.65000000000002
71,101_1019,2017,97.39999999999999
72,101_1019,2018,96.3
73,101_1019,2019,96.39999999999998
74,101_1019,2020,96.05
75,101_1019,2021,95.8
76,101_1019,2022,95.65
77,101_102,2016,83.12500000000001
78,101_102,2017,91.95833333333333
79,101_102,2018,87.55
80,101_102,2019,80.93333333333332
81,101_102,2020,88.13333333333334
82,101_102,2021,94.675
83,101_102,2022,95.45
84,101_1021,2016,98.59999999999998
85,101_1021,2017,96.21666666666668
86,101_1021,2018,96.47500000000002
87,101_1021,2019,97.92500000000001
88,101_1021,2020,98.38333333333333
89,101_1021,2021,99.70833333333333
90,101_1021,2022,98.50000000000001
91,101_1022,2016,92.64166666666667
92,101_1022,2017,96.91666666666664
93,101_1022,2018,96.01666666666665
94,101_1022,2019,92.75
95,101_1022,2020,95.34166666666665
96,101_1022,2021,97.5
97,101_1022,2022,97.45
98,101_1023,2016,96.7
99,101_1023,2017,95.875
100,101_1023,2018,94.85833333333333
101,101_1023,2019,93.70833333333333
102,101_1023,2020,95.04166666666667
103,101_1023,2021,97.10000000000001
104,101_1023,2022,98.8
105,101_1024,2016,96.59166666666665
106,101_1024,2017,96.88333333333334
107,101_1024,2018,97.11666666666666
108,101_1024,2019,96.13333333333334
109,101_1024,2020,99.43333333333334
110,101_1024,2021,98.71666666666665
111,101_1024,2022,98.3
112,101_1026,2016,98.90833333333335
113,101_1026,2017,96.46666666666665
114,101_1026,2018,97.22500000000001
115,101_1026,2019,97.175
116,101_1026,2020,92.45833333333336
117,101_1026,2021,95.575
118,101_1026,2022,95.825
119,101_1028,2016,98.49166666666666
120,101_1028,2017,97.48333333333335
121,101_1028,2018,97.61666666666667
122,101_1028,2019,96.42500000000001
123,101_1028,2020,96.45
124,101_1028,2021,96.5166666666667
125,101_1028,2022,96.325
126,101_103,2016,97.41666666666667
127,101_103,2017,98.16666666666667
128,101_103,2018,99.0
129,101_103,2019,98.08333333333333
130,101_103,2020,98.04166666666667
131,101_103,2021,98.0
132,101_103,2022,98.0
133,101_1030,2016,98.65833333333335
134,101_1030,2017,98.5
135,101_1030,2018,99.69999999999999
136,101_1030,2019,99.46666666666668
137,101_1030,2020,99.41666666666667
138,101_1030,2021,100.0
139,101_1030,2022,99.85
140,101_1031,2016,96.3
141,101_1031,2017,99.55
142,101_1031,2018,98.75
143,101_1031,2019,96.14999999999999
144,101_1031,2020,96.59999999999998
145,101_1031,2021,99.25000000000001
146,101_1031,2022,99.69999999999999
147,101_1034,2016,
148,101_1034,2017,
149,101_1034,2018,
150,101_1034,2019,
151,101_1034,2020,
152,101_1034,2021,
153,101_1034,2022,
154,101_1036,2016,98.00833333333333
155,101_1036,2017,98.55
156,101_1036,2018,97.58333333333336
157,101_1036,2019,95.10833333333333
158,101_1036,2020,97.72500000000001
159,101_1036,2021,98.55833333333332
160,101_1036,2022,99.875
161,101_1037,2016,100.0
162,101_1037,2017,100.0
163,101_1037,2018,100.0
164,101_1037,2019,100.0
165,101_1037,2020,99.55000000000001
166,101_1037,2021,100.0
167,101_1037,2022,100.0
168,101_1038,2016,95.75
169,101_1038,2017,91.35000000000002
170,101_1038,2018,95.28333333333332
171,101_1038,2019,94.29166666666667
172,101_1038,2020,79.175
173,101_1038,2021,91.05833333333334
174,101_1038,2022,93.95000000000002
175,101_1039,2016,90.41666666666667
176,101_1039,2017,95.40833333333332
177,101_1039,2018,98.175
178,101_1039,2019,99.29166666666667
179,101_1039,2020,98.72499999999998
180,101_1039,2021,96.80833333333334
181,101_1039,2022,99.15
182,101_104,2016,80.21666666666665
183,101_104,2017,71.73333333333332
184,101_104,2018,87.85833333333333
185,101_104,2019,90.76666666666665
186,101_104,2020,91.45
187,101_104,2021,91.66666666666667
188,101_104,2022,78.5
189,101_1040,2016,99.44999999999999
190,101_1040,2017,99.85000000000001
191,101_1040,2018,99.80000000000001
192,101_1040,2019,98.45833333333333
193,101_1040,2020,99.3
194,101_1040,2021,98.59166666666665
195,101_1040,2022,98.1
196,101_1041,2016,98.55833333333334
197,101_1041,2017,97.50000000000001
198,101_1041,2018,96.325
199,101_1041,2019,93.99166666666666
200,101_1041,2020,97.91666666666667
201,101_1041,2021,97.35000000000001
202,101_1041,2022,99.15
203,101_1042,2016,94.96666666666668
204,101_1042,2017,96.60833333333335
205,101_1042,2018,94.44999999999999
206,101_1042,2019,94.575
207,101_1042,2020,94.28333333333332
208,101_1042,2021,97.34166666666665
209,101_1042,2022,98.25
210,101_1043,2016,100.0
211,101_1043,2017,99.25
212,101_1043,2018,98.35000000000001
213,101_1043,2019,100.0
214,101_1043,2020,100.0
215,101_1043,2021,99.10000000000002
216,101_1043,2022,100.0
217,101_1044,2016,97.27499999999999
218,101_1044,2017,95.73333333333333
219,101_1044,2018,96.84999999999998
220,101_1044,2019,98.29166666666667
221,101_1044,2020,88.50833333333333
222,101_1044,2021,85.67500000000001
223,101_1044,2022,86.6
224,101_1045,2016,91.85833333333333
225,101_1045,2017,95.55
226,101_1045,2018,96.52499999999999
227,101_1045,2019,96.81666666666666
228,101_1045,2020,95.82499999999999
229,101_1045,2021,96.94166666666666
230,101_1045,2022,96.89999999999999
