,tract,year,population,white_pop,Black_pop,Native_pop,Asian_pop,Pacific_pop,male_population,female_population,0-19_pop,20-29_pop,30-39_pop,40-49_pop,50-59_pop,60-69_pop,70+_pop
32,12001000500,2020,4640.0,3777.0,627.0,0.0,93.0,0.0,2342.0,2298.0,718.0,1037.0,904.0,897.0,398.0,302.0,384.0
33,12001000500,2021,4550.666666666667,2612.333333333333,1682.3333333333333,0.0,77.66666666666667,0.0,2161.6666666666665,2389.0,962.3333333333334,933.0,759.3333333333334,789.6666666666666,445.0,305.3333333333333,356.0
34,12001000500,2022,4461.333333333333,1447.6666666666665,2737.6666666666665,0.0,62.33333333333333,0.0,1981.3333333333333,2480.0,1206.6666666666667,829.0,614.6666666666667,682.3333333333334,492.0,308.6666666666667,328.0
35,12001000600,2016,4372.0,283.0,3793.0,0.0,47.0,0.0,1801.0,2571.0,1451.0,725.0,470.0,575.0,539.0,312.0,300.0
36,12001000600,2017,4689.0,334.0,3988.0,0.0,58.0,0.0,1779.0,2910.0,1600.0,875.0,449.0,562.0,596.0,350.0,257.0
37,12001000600,2018,5195.0,290.0,4574.0,0.0,0.0,0.0,2190.0,3005.0,1858.0,990.0,465.0,644.0,577.0,341.0,320.0
38,12001000600,2019,4963.0,256.0,4511.0,0.0,8.0,0.0,2244.0,2719.0,2022.0,753.0,474.0,650.0,509.0,230.0,325.0
39,12001000600,2020,5343.0,262.0,4901.0,0.0,7.0,0.0,2142.0,3201.0,2085.0,727.0,484.0,614.0,423.0,572.0,438.0
40,12001000600,2021,5744.333333333333,651.0,4928.0,0.0,18.333333333333336,0.0,2453.0,3291.3333333333335,1921.0,739.6666666666666,577.0,619.6666666666666,686.6666666666667,678.3333333333334,522.0
41,12001000600,2022,6145.666666666667,1040.0,4955.0,0.0,29.666666666666668,0.0,2764.0,3381.6666666666665,1757.0,752.3333333333334,670.0,625.3333333333334,950.3333333333334,784.6666666666666,606.0
42,12001000700,2016,6547.0,1429.0,4982.0,0.0,41.0,0.0,3075.0,3472.0,1593.0,765.0,763.0,631.0,1214.0,891.0,690.0
43,12001000700,2017,6212.0,1543.0,4556.0,0.0,41.0,0.0,2974.0,3238.0,1374.0,953.0,570.0,581.0,1192.0,850.0,692.0
44,12001000700,2018,6395.0,1768.0,4533.0,0.0,0.0,0.0,3016.0,3379.0,1454.0,1004.0,614.0,641.0,1108.0,846.0,728.0
45,12001000700,2019,6505.0,1960.0,4330.0,0.0,0.0,0.0,3046.0,3459.0,1122.0,1016.0,642.0,871.0,1142.0,999.0,713.0
46,12001000700,2020,6854.0,2340.0,4240.0,0.0,58.0,11.25,3265.0,3589.0,1549.0,879.0,901.0,978.0,804.0,1008.0,735.0
47,12001000700,2021,5218.333333333333,2017.0,2903.333333333333,0.0,116.0,22.5,2556.0,2662.3333333333335,1103.0,910.6666666666666,711.0,684.3333333333333,580.0,713.6666666666667,515.6666666666666
48,12001000700,2022,3582.6666666666665,1694.0,1566.6666666666665,0.0,174.0,33.75,1847.0,1735.6666666666667,657.0,942.3333333333334,521.0,390.66666666666663,356.0,419.33333333333337,296.3333333333333
49,12001000806,2016,1947.0,1371.0,230.0,0.0,232.0,45.0,1138.0,809.0,211.0,974.0,331.0,97.0,132.0,125.0,77.0
50,12001000806,2017,2043.0,1396.0,255.0,0.0,274.0,0.0,1094.0,949.0,279.0,1005.0,335.0,105.0,115.0,117.0,87.0
51,12001000806,2018,2414.0,1583.0,231.0,0.0,448.0,0.0,1269.0,1145.0,367.0,1226.0,346.0,130.0,150.0,115.0,80.0
52,12001000806,2019,2526.0,1590.0,200.0,0.0,527.0,0.0,1380.0,1146.0,478.0,1193.0,409.0,165.0,78.0,101.0,102.0
53,12001000806,2020,1246.0,972.0,62.0,0.0,101.0,0.0,727.0,519.0,164.0,629.0,67.0,64.0,115.0,93.0,114.0
54,12001000806,2021,2196.6666666666665,1449.6666666666667,239.66666666666666,0.0,317.0,0.0,1145.0,1051.6666666666665,341.66666666666663,1116.0,228.66666666666666,108.66666666666666,193.66666666666669,113.66666666666667,94.33333333333333
55,12001000806,2022,3147.333333333333,1927.3333333333335,417.3333333333333,0.0,533.0,0.0,1563.0,1584.3333333333333,519.3333333333333,1603.0,390.3333333333333,153.33333333333331,272.33333333333337,134.33333333333334,74.66666666666666
56,12001000808,2016,4098.0,2405.0,595.0,0.0,749.0,0.0,1981.0,2117.0,697.0,2090.0,552.0,198.0,351.0,155.0,55.0
57,12001000808,2017,3466.0,2114.0,567.0,8.0,582.0,0.0,1722.0,1744.0,540.0,1742.0,533.0,212.0,228.0,145.0,66.0
58,12001000808,2018,3305.0,1949.0,709.0,26.0,408.0,0.0,1822.0,1483.0,649.0,1462.0,484.0,283.0,200.0,125.0,102.0
59,12001000808,2019,3430.0,1984.0,854.0,30.0,345.0,0.0,1953.0,1477.0,735.0,1539.0,518.0,229.0,207.0,129.0,73.0
60,12001000808,2020,3224.0,1675.0,1063.0,31.0,213.0,0.0,1830.0,1394.0,708.0,1345.0,560.0,169.0,195.0,148.0,99.0
61,12001000808,2021,2561.6666666666665,1373.3333333333333,813.6666666666666,24.666666666666668,181.33333333333334,0.0,1413.0,1148.6666666666667,516.6666666666666,1007.6666666666667,438.6666666666667,153.0,170.33333333333334,136.33333333333334,139.0
62,12001000808,2022,1899.3333333333333,1071.6666666666665,564.3333333333333,18.333333333333336,149.66666666666666,0.0,996.0,903.3333333333333,325.3333333333333,670.3333333333334,317.33333333333337,137.0,145.66666666666666,124.66666666666667,179.0
63,12001000809,2016,1237.0,770.0,315.0,12.0,118.0,0.0,579.0,658.0,134.0,333.0,196.0,121.0,121.0,113.0,219.0
64,12001000809,2017,1215.0,781.0,249.0,12.0,130.0,0.0,539.0,676.0,90.0,335.0,223.0,120.0,108.0,128.0,211.0
65,12001000809,2018,1231.0,773.0,245.0,13.0,158.0,0.0,563.0,668.0,110.0,328.0,179.0,135.0,128.0,142.0,209.0
66,12001000809,2019,1287.0,803.0,251.0,19.0,129.0,0.0,630.0,657.0,147.0,402.0,194.0,91.0,85.0,184.0,184.0
67,12001000809,2020,1123.0,758.0,137.0,13.0,122.0,0.0,590.0,533.0,111.0,542.0,161.0,85.0,66.0,128.0,30.0
68,12001000809,2021,2483.333333333333,1753.6666666666665,299.0,11.0,284.0,0.0,1317.0,1166.3333333333335,1326.3333333333333,765.3333333333334,153.33333333333334,80.0,50.0,88.33333333333334,20.0
69,12001000809,2022,3843.6666666666665,2749.333333333333,461.0,9.0,446.0,0.0,2044.0,1799.6666666666667,2541.6666666666665,988.6666666666667,145.66666666666666,75.0,34.0,48.66666666666667,10.0
70,12001000901,2016,5204.0,3745.0,623.0,7.0,608.0,0.0,2771.0,2433.0,3757.0,1212.0,138.0,70.0,18.0,9.0,0.0
71,12001000901,2017,5093.0,3653.0,578.0,16.0,632.0,0.0,2728.0,2365.0,3704.0,1137.0,136.0,93.0,23.0,0.0,0.0
72,12001000901,2018,4855.0,3383.0,584.0,19.0,700.0,0.0,2573.0,2282.0,3512.0,1088.0,168.0,63.0,24.0,0.0,0.0
73,12001000901,2019,4403.0,2950.0,530.0,12.0,713.0,4.0,2304.0,2099.0,3045.0,1076.0,194.0,66.0,22.0,0.0,0.0
74,12001000901,2020,3602.0,2414.0,343.0,9.0,583.0,3.0,1893.0,1709.0,2403.0,829.0,275.0,79.0,16.0,1.5,0.0
75,12001000901,2021,4608.0,3280.3333333333335,438.6666666666667,6.666666666666666,582.0,2.0,2137.3333333333335,2470.6666666666665,3320.3333333333335,1019.3333333333334,189.0,58.66666666666667,18.666666666666668,3.0,0.0
76,12001000901,2022,5614.0,4146.666666666667,534.3333333333334,4.333333333333333,581.0,1.0,2381.6666666666665,3232.333333333333,4237.666666666667,1209.6666666666667,103.0,38.333333333333336,21.333333333333332,4.5,0.0
77,12001000902,2016,6620.0,5013.0,630.0,2.0,580.0,0.0,2626.0,3994.0,5155.0,1400.0,17.0,18.0,24.0,6.0,0.0
