,tract,year,16+_Pop,16+_Labor,16+_Employed,state_code,state,county
83,01001021100,2022,2926.0,1352.0,1279.3333333333337,01,AL,001
84,01003010100,2016,3373.0,1680.0,1585.0,01,AL,003
85,01003010100,2017,3311.0,1696.0,1598.0,01,AL,003
86,01003010100,2018,3507.0,1810.0,1748.0,01,AL,003
87,01003010100,2019,2823.0,1390.0,1324.0,01,AL,003
88,01003010100,2020,2816.0,1352.0,1281.0,01,AL,003
89,01003010100,2021,2632.6666666666665,1371.6666666666667,1291.0,01,AL,003
90,01003010100,2022,2449.333333333333,1391.3333333333333,1301.0,01,AL,003
91,01003010200,2016,2266.0,1411.0,1311.0,01,AL,003
92,01003010200,2017,2352.0,1460.0,1340.0,01,AL,003
93,01003010200,2018,2426.0,1479.0,1333.0,01,AL,003
94,01003010200,2019,2469.0,1505.0,1394.0,01,AL,003
95,01003010200,2020,2285.0,1454.0,1425.0,01,AL,003
96,01003010200,2021,3591.333333333333,2058.0,1944.3333333333333,01,AL,003
97,01003010200,2022,4897.666666666666,2662.0,2463.666666666667,01,AL,003
98,01003010300,2016,6204.0,3266.0,2983.0,01,AL,003
99,01003010300,2017,6713.0,3476.0,3340.0,01,AL,003
100,01003010300,2018,6953.0,3787.0,3711.0,01,AL,003
101,01003010300,2019,6533.0,3478.0,3312.0,01,AL,003
102,01003010300,2020,4022.0,2489.0,2370.0,01,AL,003
103,01003010300,2021,3861.6666666666665,2351.333333333333,2200.6666666666665,01,AL,003
104,01003010300,2022,3701.3333333333335,2213.6666666666665,2031.3333333333333,01,AL,003
105,01003010400,2016,3541.0,2076.0,1862.0,01,AL,003
106,01003010400,2017,3627.0,2161.0,2002.0,01,AL,003
107,01003010400,2018,3746.0,2270.0,2198.0,01,AL,003
108,01003010400,2019,4092.0,2380.0,2319.0,01,AL,003
109,01003010400,2020,4328.0,2245.0,2196.0,01,AL,003
110,01003010400,2021,4234.0,2154.6666666666665,2082.0,01,AL,003
111,01003010400,2022,4140.0,2064.333333333333,1968.0,01,AL,003
112,01003010500,2016,4046.0,1974.0,1854.0,01,AL,003
113,01003010500,2017,3948.0,1848.0,1767.0,01,AL,003
114,01003010500,2018,4520.0,2217.0,2123.0,01,AL,003
115,01003010500,2019,4597.0,2236.0,2183.0,01,AL,003
116,01003010500,2020,4932.0,2588.0,2498.0,01,AL,003
117,01003010500,2021,4072.3333333333335,2174.6666666666665,2084.6666666666665,01,AL,003
118,01003010500,2022,3212.666666666667,1761.3333333333337,1671.3333333333337,01,AL,003
119,01003010600,2016,2353.0,1348.0,1258.0,01,AL,003
120,01003010600,2017,2498.0,1349.0,1269.0,01,AL,003
121,01003010600,2018,2569.0,1434.0,1284.0,01,AL,003
122,01003010600,2019,2795.0,1486.0,1388.0,01,AL,003
123,01003010600,2020,3143.0,1809.0,1515.0,01,AL,003
124,01003010600,2021,4159.333333333333,2498.333333333333,2266.6666666666665,01,AL,003
125,01003010600,2022,5175.666666666667,3187.666666666667,3018.333333333333,01,AL,003
126,01003010701,2016,6192.0,3877.0,3770.0,01,AL,003
127,01003010701,2017,6388.0,3834.0,3727.0,01,AL,003
128,01003010701,2018,6623.0,3980.0,3894.0,01,AL,003
129,01003010701,2019,7045.0,4031.0,3981.0,01,AL,003
130,01003010701,2020,8580.5,5309.75,5232.25,01,AL,003
131,01003010701,2021,10116.0,6588.5,6483.5,01,AL,003
132,01003010701,2022,11651.5,7867.25,7734.75,01,AL,003
133,01003010703,2016,13187.0,9146.0,8986.0,01,AL,003
134,01003010703,2017,13427.0,9284.0,8999.0,01,AL,003
135,01003010703,2018,14588.0,10438.0,10069.0,01,AL,003
136,01003010703,2019,14792.0,10297.0,9923.0,01,AL,003
137,01003010703,2020,12150.0,8429.5,8094.5,01,AL,003
138,01003010703,2021,9508.0,6562.0,6266.0,01,AL,003
139,01003010703,2022,6866.0,4694.5,4437.5,01,AL,003
140,01003010704,2016,4224.0,2827.0,2609.0,01,AL,003
141,01003010704,2017,4309.0,2816.0,2647.0,01,AL,003
142,01003010704,2018,4308.0,2792.0,2688.0,01,AL,003
143,01003010704,2019,4694.0,2816.0,2738.0,01,AL,003
144,01003010704,2020,4693.0,2896.0,2863.0,01,AL,003
145,01003010704,2021,5797.0,3904.0,3742.0,01,AL,003
146,01003010704,2022,6901.0,4912.0,4621.0,01,AL,003
147,01003010705,2016,8005.0,5920.0,5500.0,01,AL,003
148,01003010705,2017,7982.0,6034.0,5610.0,01,AL,003
149,01003010705,2018,7871.0,5960.0,5556.0,01,AL,003
150,01003010705,2019,7377.0,5397.0,5255.0,01,AL,003
151,01003010705,2020,7167.0,5004.25,4817.5,01,AL,003
152,01003010705,2021,6957.0,4611.5,4380.0,01,AL,003
153,01003010705,2022,6747.0,4218.75,3942.5,01,AL,003
154,01003010800,2016,6537.0,3826.0,3505.0,01,AL,003
155,01003010800,2017,6136.0,3571.0,3305.0,01,AL,003
156,01003010800,2018,5842.0,3164.0,2924.0,01,AL,003
157,01003010800,2019,5648.0,2946.0,2726.0,01,AL,003
158,01003010800,2020,6190.0,3472.0,3286.0,01,AL,003
159,01003010800,2021,5773.666666666667,3154.0,2960.0,01,AL,003
160,01003010800,2022,5357.333333333333,2836.0,2634.0,01,AL,003
161,01003010903,2016,4941.0,2518.0,2308.0,01,AL,003
162,01003010903,2017,4788.0,2312.0,2246.0,01,AL,003
163,01003010903,2018,4763.0,2405.0,2317.0,01,AL,003
164,01003010903,2019,4987.0,2785.0,2633.0,01,AL,003
