,tract,year,median_income,state_code,state,county
123,01003010600,2020,32000.0,01,AL,003
124,01003010600,2021,44903.16666666666,01,AL,003
125,01003010600,2022,57806.33333333333,01,AL,003
126,01003010701,2016,70709.5,01,AL,003
127,01003010701,2017,72275.0,01,AL,003
128,01003010701,2018,79721.5,01,AL,003
129,01003010701,2019,66269.5,01,AL,003
130,01003010701,2020,71939.0,01,AL,003
131,01003010701,2021,77608.5,01,AL,003
132,01003010701,2022,83278.0,01,AL,003
133,01003010703,2016,88947.5,01,AL,003
134,01003010703,2017,89162.5,01,AL,003
135,01003010703,2018,88316.5,01,AL,003
136,01003010703,2019,92283.5,01,AL,003
137,01003010703,2020,86179.75,01,AL,003
138,01003010703,2021,80076.0,01,AL,003
139,01003010703,2022,73972.25,01,AL,003
140,01003010704,2016,67868.5,01,AL,003
141,01003010704,2017,72317.0,01,AL,003
142,01003010704,2018,73590.5,01,AL,003
143,01003010704,2019,74283.0,01,AL,003
144,01003010704,2020,79797.0,01,AL,003
145,01003010704,2021,69083.33333333333,01,AL,003
146,01003010704,2022,58369.66666666667,01,AL,003
147,01003010705,2016,47656.0,01,AL,003
148,01003010705,2017,55525.0,01,AL,003
149,01003010705,2018,55407.0,01,AL,003
150,01003010705,2019,68125.0,01,AL,003
151,01003010705,2020,63915.5,01,AL,003
152,01003010705,2021,59706.0,01,AL,003
153,01003010705,2022,55496.5,01,AL,003
154,01003010800,2016,51287.0,01,AL,003
155,01003010800,2017,45694.0,01,AL,003
156,01003010800,2018,45854.0,01,AL,003
157,01003010800,2019,45307.0,01,AL,003
158,01003010800,2020,54890.0,01,AL,003
159,01003010800,2021,52468.333333333336,01,AL,003
160,01003010800,2022,50046.66666666666,01,AL,003
161,01003010903,2016,47625.0,01,AL,003
162,01003010903,2017,48750.0,01,AL,003
163,01003010903,2018,53889.0,01,AL,003
164,01003010903,2019,54592.0,01,AL,003
165,01003010903,2020,51364.0,01,AL,003
166,01003010903,2021,49959.66666666666,01,AL,003
167,01003010903,2022,48555.333333333336,01,AL,003
168,01003010904,2016,47151.0,01,AL,003
169,01003010904,2017,53670.0,01,AL,003
170,01003010904,2018,54539.0,01,AL,003
171,01003010904,2019,57109.0,01,AL,003
172,01003010904,2020,70230.0,01,AL,003
173,01003010904,2021,60778.333333333336,01,AL,003
174,01003010904,2022,51326.66666666667,01,AL,003
175,01003010905,2016,41875.0,01,AL,003
176,01003010905,2017,45043.0,01,AL,003
177,01003010905,2018,47636.0,01,AL,003
178,01003010905,2019,52059.0,01,AL,003
179,01003010905,2020,50200.5,01,AL,003
180,01003010905,2021,48342.0,01,AL,003
181,01003010905,2022,46483.5,01,AL,003
182,01003010906,2016,44625.0,01,AL,003
183,01003010906,2017,47589.0,01,AL,003
184,01003010906,2018,44531.0,01,AL,003
185,01003010906,2019,46234.0,01,AL,003
186,01003010906,2020,47337.0,01,AL,003
187,01003010906,2021,42894.16666666666,01,AL,003
188,01003010906,2022,38451.333333333336,01,AL,003
189,01003011000,2016,34008.5,01,AL,003
190,01003011000,2017,34467.5,01,AL,003
191,01003011000,2018,38060.5,01,AL,003
192,01003011000,2019,42552.0,01,AL,003
193,01003011000,2020,43808.5,01,AL,003
194,01003011000,2021,51031.66666666666,01,AL,003
195,01003011000,2022,58254.833333333336,01,AL,003
196,01003011101,2016,65478.0,01,AL,003
197,01003011101,2017,73507.0,01,AL,003
198,01003011101,2018,77639.0,01,AL,003
199,01003011101,2019,91058.0,01,AL,003
200,01003011101,2020,82119.625,01,AL,003
201,01003011101,2021,73181.25,01,AL,003
202,01003011101,2022,64242.875,01,AL,003
203,01003011102,2016,55304.5,01,AL,003
204,01003011102,2017,56567.0,01,AL,003
205,01003011102,2018,64658.0,01,AL,003
206,01003011102,2019,75650.0,01,AL,003
207,01003011102,2020,74768.5,01,AL,003
208,01003011102,2021,69082.5,01,AL,003
209,01003011102,2022,63396.5,01,AL,003
210,01003011201,2016,57710.5,01,AL,003
211,01003011201,2017,60522.0,01,AL,003
212,01003011201,2018,63519.5,01,AL,003
213,01003011201,2019,62350.0,01,AL,003
214,01003011201,2020,64800.5,01,AL,003
215,01003011201,2021,58339.333333333336,01,AL,003
216,01003011201,2022,51878.16666666666,01,AL,003
217,01003011202,2016,45417.0,01,AL,003
218,01003011202,2017,53752.0,01,AL,003
219,01003011202,2018,58307.5,01,AL,003
220,01003011202,2019,60881.5,01,AL,003
221,01003011202,2020,76250.0,01,AL,003
222,01003011202,2021,70639.66666666667,01,AL,003
223,01003011202,2022,65029.333333333336,01,AL,003
224,01003011300,2016,59419.0,01,AL,003
225,01003011300,2017,74067.5,01,AL,003
226,01003011300,2018,75882.5,01,AL,003
227,01003011300,2019,77847.0,01,AL,003
228,01003011300,2020,76944.0,01,AL,003
229,01003011300,2021,66442.0,01,AL,003
230,01003011300,2022,55940.0,01,AL,003
231,01003011401,2016,45438.0,01,AL,003
232,01003011401,2017,52663.0,01,AL,003
233,01003011401,2018,60014.0,01,AL,003
234,01003011401,2019,60124.0,01,AL,003
235,01003011401,2020,57567.5,01,AL,003
236,01003011401,2021,55011.0,01,AL,003
237,01003011401,2022,52454.5,01,AL,003
238,01003011403,2016,49898.0,01,AL,003
239,01003011403,2017,48997.0,01,AL,003
240,01003011403,2018,48287.0,01,AL,003
241,01003011403,2019,48452.0,01,AL,003
242,01003011403,2020,53639.5,01,AL,003
243,01003011403,2021,58827.0,01,AL,003
244,01003011403,2022,64014.5,01,AL,003
245,01003011405,2016,69202.0,01,AL,003
246,01003011405,2017,75726.0,01,AL,003
247,01003011405,2018,84867.5,01,AL,003
248,01003011405,2019,86515.5,01,AL,003
249,01003011405,2020,76063.5,01,AL,003
250,01003011405,2021,65611.5,01,AL,003
251,01003011405,2022,55159.5,01,AL,003
252,01003011406,2016,44707.5,01,AL,003
253,01003011406,2017,47079.0,01,AL,003
254,01003011406,2018,62195.0,01,AL,003
255,01003011406,2019,64945.0,01,AL,003
256,01003011406,2020,57599.5,01,AL,003
257,01003011406,2021,50254.0,01,AL,003
258,01003011406,2022,42908.5,01,AL,003
259,01003011407,2016,35563.0,01,AL,003
260,01003011407,2017,37861.0,01,AL,003
261,01003011407,2018,47451.0,01,AL,003
262,01003011407,2019,48836.0,01,AL,003
263,01003011407,2020,50318.5,01,AL,003
264,01003011407,2021,51801.0,01,AL,003
265,01003011407,2022,53283.5,01,AL,003
266,01003011408,2016,54766.0,01,AL,003
267,01003011408,2017,54688.0,01,AL,003
268,01003011408,2018,76250.0,01,AL,003
269,01003011408,2019,104306.0,01,AL,003
270,01003011408,2020,91815.0,01,AL,003
271,01003011408,2021,79324.0,01,AL,003
272,01003011408,2022,66833.0,01,AL,003
273,01003011501,2016,54342.0,01,AL,003
274,01003011501,2017,50492.0,01,AL,003
275,01003011501,2018,47468.0,01,AL,003
276,01003011501,2019,47719.0,01,AL,003
277,01003011501,2020,47648.0,01,AL,003
278,01003011501,2021,43611.5,01,AL,003
279,01003011501,2022,39575.0,01,AL,003
280,01003011502,2016,35538.5,01,AL,003
281,01003011502,2017,39596.0,01,AL,003
282,01003011502,2018,45528.0,01,AL,003
283,01003011502,2019,40796.5,01,AL,003
284,01003011502,2020,40491.75,01,AL,003
285,01003011502,2021,40187.0,01,AL,003
286,01003011502,2022,39882.25,01,AL,003
287,01003011601,2016,39577.5,01,AL,003
288,01003011601,2017,50768.5,01,AL,003
289,01003011601,2018,58904.5,01,AL,003
290,01003011601,2019,47193.0,01,AL,003
291,01003011601,2020,48753.5,01,AL,003
292,01003011601,2021,48563.16666666666,01,AL,003
293,01003011601,2022,48372.833333333336,01,AL,003
294,01003011602,2016,48182.5,01,AL,003
295,01003011602,2017,48606.5,01,AL,003
296,01003011602,2018,50151.0,01,AL,003
297,01003011602,2019,48391.5,01,AL,003
298,01003011602,2020,47628.63636363636,01,AL,003
299,01003011602,2021,46865.77272727273,01,AL,003
300,01003011602,2022,46102.90909090909,01,AL,003
301,01003990000,2016,45340.045454545456,01,AL,003
302,01003990000,2017,44577.181818181816,01,AL,003
303,01003990000,2018,43814.31818181818,01,AL,003
304,01003990000,2019,43051.454545454544,01,AL,003
305,01003990000,2020,42288.59090909091,01,AL,003
306,01003990000,2021,41525.72727272727,01,AL,003
307,01003990000,2022,40762.86363636363,01,AL,003
308,01005950100,2016,40000.0,01,AL,005
309,01005950100,2017,41908.0,01,AL,005
310,01005950100,2018,46250.0,01,AL,005
311,01005950100,2019,45417.0,01,AL,005
312,01005950100,2020,48690.5,01,AL,005
313,01005950100,2021,42273.66666666666,01,AL,005
314,01005950100,2022,35856.833333333336,01,AL,005
315,01005950200,2016,29440.0,01,AL,005
316,01005950200,2017,35167.0,01,AL,005
317,01005950200,2018,31316.0,01,AL,005
318,01005950200,2019,32782.0,01,AL,005
319,01005950200,2020,47083.0,01,AL,005
320,01005950200,2021,41756.333333333336,01,AL,005
321,01005950200,2022,36429.66666666666,01,AL,005
322,01005950300,2016,31103.0,01,AL,005
323,01005950300,2017,32711.0,01,AL,005
324,01005950300,2018,32747.0,01,AL,005
325,01005950300,2019,26000.5,01,AL,005
326,01005950300,2020,33180.5,01,AL,005
327,01005950300,2021,33474.666666666664,01,AL,005
328,01005950300,2022,33768.833333333336,01,AL,005
329,01005950400,2016,34063.0,01,AL,005
330,01005950400,2017,31912.0,01,AL,005
331,01005950400,2018,29348.0,01,AL,005
332,01005950400,2019,26979.0,01,AL,005
333,01005950400,2020,24410.0,01,AL,005
334,01005950400,2021,29290.0,01,AL,005
335,01005950400,2022,34170.0,01,AL,005
336,01005950500,2016,39050.0,01,AL,005
337,01005950500,2017,37895.0,01,AL,005
338,01005950500,2018,45051.0,01,AL,005
339,01005950500,2019,42361.0,01,AL,005
340,01005950500,2020,56136.0,01,AL,005
341,01005950500,2021,45437.333333333336,01,AL,005
342,01005950500,2022,34738.66666666667,01,AL,005
343,01005950600,2016,24040.0,01,AL,005
344,01005950600,2017,23539.5,01,AL,005
345,01005950600,2018,23222.0,01,AL,005
346,01005950600,2019,23602.5,01,AL,005
347,01005950600,2020,22974.0,01,AL,005
348,01005950600,2021,27045.5,01,AL,005
349,01005950600,2022,31117.0,01,AL,005
350,01005950700,2016,35188.5,01,AL,005
351,01005950700,2017,35149.5,01,AL,005
352,01005950700,2018,33025.5,01,AL,005
353,01005950700,2019,32058.5,01,AL,005
354,01005950700,2020,39944.0,01,AL,005
355,01005950700,2021,39166.5,01,AL,005
356,01005950700,2022,38389.0,01,AL,005
357,01005950800,2016,37611.5,01,AL,005
358,01005950800,2017,36458.5,01,AL,005
359,01005950800,2018,34801.5,01,AL,005
360,01005950800,2019,35448.0,01,AL,005
361,01005950800,2020,33326.0,01,AL,005
362,01005950800,2021,31603.33333333333,01,AL,005
363,01005950800,2022,29880.666666666668,01,AL,005
364,01005950900,2016,28158.0,01,AL,005
365,01005950900,2017,32232.0,01,AL,005
366,01005950900,2018,33043.0,01,AL,005
367,01005950900,2019,34063.0,01,AL,005
368,01005950900,2020,25972.0,01,AL,005
369,01005950900,2021,30919.666666666668,01,AL,005
370,01005950900,2022,35867.333333333336,01,AL,005
371,01007010001,2016,40815.0,01,AL,007
372,01007010001,2017,47301.0,01,AL,007
373,01007010001,2018,36964.0,01,AL,007
374,01007010001,2019,36750.0,01,AL,007
375,01007010001,2020,42051.0,01,AL,007
376,01007010001,2021,41075.66666666666,01,AL,007
377,01007010001,2022,40100.333333333336,01,AL,007
378,01007010002,2016,39125.0,01,AL,007
379,01007010002,2017,40192.0,01,AL,007
380,01007010002,2018,44296.0,01,AL,007
381,01007010002,2019,53056.0,01,AL,007
382,01007010002,2020,50274.875,01,AL,007
383,01007010002,2021,47493.75,01,AL,007
384,01007010002,2022,44712.625,01,AL,007
385,01007010003,2016,41931.5,01,AL,007
386,01007010003,2017,50715.5,01,AL,007
387,01007010003,2018,60648.0,01,AL,007
388,01007010003,2019,55469.0,01,AL,007
389,01007010003,2020,49966.0,01,AL,007
390,01007010003,2021,44463.0,01,AL,007
391,01007010003,2022,38960.0,01,AL,007
392,01007010004,2016,33457.0,01,AL,007
393,01007010004,2017,38921.0,01,AL,007
394,01007010004,2018,36000.0,01,AL,007
395,01007010004,2019,37366.0,01,AL,007
396,01007010004,2020,38793.75,01,AL,007
397,01007010004,2021,40221.5,01,AL,007
398,01007010004,2022,41649.25,01,AL,007
399,01009050101,2016,43077.0,01,AL,009
400,01009050101,2017,46771.0,01,AL,009
401,01009050101,2018,45769.0,01,AL,009
402,01009050101,2019,49358.0,01,AL,009
403,01009050101,2020,50200.875,01,AL,009
404,01009050101,2021,51043.75,01,AL,009
405,01009050101,2022,51886.625,01,AL,009
406,01009050102,2016,52729.5,01,AL,009
407,01009050102,2017,56957.0,01,AL,009
408,01009050102,2018,47594.5,01,AL,009
409,01009050102,2019,45829.0,01,AL,009
410,01009050102,2020,44714.0,01,AL,009
411,01009050102,2021,43599.0,01,AL,009
412,01009050102,2022,42484.0,01,AL,009
413,01009050200,2016,41369.0,01,AL,009
414,01009050200,2017,44152.0,01,AL,009
415,01009050200,2018,52845.5,01,AL,009
416,01009050200,2019,54405.0,01,AL,009
417,01009050200,2020,43641.5,01,AL,009
418,01009050200,2021,43762.833333333336,01,AL,009
419,01009050200,2022,43884.16666666666,01,AL,009
420,01009050300,2016,44005.5,01,AL,009
421,01009050300,2017,50801.0,01,AL,009
422,01009050300,2018,39844.0,01,AL,009
423,01009050300,2019,34263.5,01,AL,009
424,01009050300,2020,34183.75,01,AL,009
425,01009050300,2021,34104.0,01,AL,009
