,PROPERTY_ID,Year,Avg_RentPerSqFtActual
0,101_1,2016,0.8383333333333333
1,101_1,2017,0.8433333333333332
2,101_1,2018,0.9283333333333333
3,101_1,2019,1.0308333333333335
4,101_1,2020,1.0358333333333334
5,101_1,2021,1.1158333333333335
6,101_1,2022,1.256
7,101_1002,2016,1.0716666666666668
8,101_1002,2017,1.1425
9,101_1002,2018,1.215
10,101_1002,2019,1.2441666666666669
11,101_1002,2020,1.3058333333333334
12,101_1002,2021,1.4108333333333336
13,101_1002,2022,1.5579999999999998
14,101_1006,2016,1.2666666666666664
15,101_1006,2017,1.3425
16,101_1006,2018,1.36
17,101_1006,2019,1.385
18,101_1006,2020,1.4433333333333334
19,101_1006,2021,1.8408333333333333
20,101_1006,2022,2.072
21,101_1007,2016,1.08
22,101_1007,2017,1.0999999999999999
23,101_1007,2018,1.126666666666667
24,101_1007,2019,1.1675
25,101_1007,2020,1.1891666666666667
26,101_1007,2021,1.3425
27,101_1007,2022,1.4740000000000002
28,101_1008,2016,0.9908333333333333
29,101_1008,2017,1.0216666666666667
30,101_1008,2018,1.0266666666666668
31,101_1008,2019,1.0925
32,101_1008,2020,1.1308333333333334
33,101_1008,2021,1.1933333333333334
34,101_1008,2022,1.246
35,101_1013,2016,0.943333333333333
36,101_1013,2017,0.9358333333333332
37,101_1013,2018,0.92
38,101_1013,2019,0.9274999999999999
39,101_1013,2020,0.9324999999999998
40,101_1013,2021,0.98
41,101_1013,2022,1.044
42,101_1014,2016,1.1008333333333336
43,101_1014,2017,1.1533333333333335
44,101_1014,2018,1.1849999999999998
45,101_1014,2019,1.2524999999999997
46,101_1014,2020,1.2416666666666667
47,101_1014,2021,1.3616666666666666
48,101_1014,2022,1.54
49,101_1015,2016,0.8558333333333334
50,101_1015,2017,0.9133333333333332
51,101_1015,2018,0.9466666666666669
52,101_1015,2019,0.9825000000000003
53,101_1015,2020,1.015833333333333
54,101_1015,2021,1.0716666666666665
55,101_1015,2022,1.168
56,101_1017,2016,0.91
57,101_1017,2017,0.91
58,101_1017,2018,0.9258333333333332
59,101_1017,2019,0.9441666666666665
60,101_1017,2020,0.9558333333333332
61,101_1017,2021,0.9966666666666665
62,101_1017,2022,1.068
63,101_1018,2016,1.1458333333333333
64,101_1018,2017,1.1366666666666667
65,101_1018,2018,1.2708333333333333
66,101_1018,2019,1.3033333333333332
67,101_1018,2020,1.240833333333333
68,101_1018,2021,1.3608333333333336
69,101_1018,2022,1.45
70,101_1019,2016,0.9283333333333332
71,101_1019,2017,0.9858333333333333
72,101_1019,2018,1.0508333333333333
73,101_1019,2019,1.1066666666666667
74,101_1019,2020,1.0966666666666667
75,101_1019,2021,1.2249999999999999
76,101_1019,2022,1.468
77,101_102,2016,0.9941666666666666
78,101_102,2017,1.0550000000000002
79,101_102,2018,1.1658333333333333
80,101_102,2019,1.1716666666666666
81,101_102,2020,1.2333333333333334
82,101_102,2021,1.2908333333333335
83,101_102,2022,1.46
84,101_1021,2016,1.1150000000000002
85,101_1021,2017,1.1316666666666666
86,101_1021,2018,1.145
87,101_1021,2019,1.1849999999999998
88,101_1021,2020,1.2316666666666667
89,101_1021,2021,1.3108333333333333
90,101_1021,2022,1.468
91,101_1022,2016,1.265
92,101_1022,2017,1.3099999999999998
93,101_1022,2018,1.4258333333333333
94,101_1022,2019,1.4691666666666665
95,101_1022,2020,1.485
96,101_1022,2021,1.8216666666666665
97,101_1022,2022,1.95
98,101_1023,2016,1.0233333333333332
99,101_1023,2017,1.155
100,101_1023,2018,1.2299999999999998
101,101_1023,2019,1.3808333333333331
102,101_1023,2020,1.2933333333333334
103,101_1023,2021,1.5975
104,101_1023,2022,1.8359999999999999
105,101_1024,2016,1.3074999999999999
106,101_1024,2017,1.4174999999999998
107,101_1024,2018,1.4350000000000003
108,101_1024,2019,1.4741666666666668
109,101_1024,2020,1.5116666666666667
110,101_1024,2021,1.6925000000000001
111,101_1024,2022,1.9780000000000002
112,101_1026,2016,1.2533333333333332
113,101_1026,2017,1.2724999999999997
114,101_1026,2018,1.3208333333333333
115,101_1026,2019,1.3449999999999998
116,101_1026,2020,1.39
117,101_1026,2021,1.4158333333333333
118,101_1026,2022,1.536
119,101_1028,2016,1.12
120,101_1028,2017,1.2033333333333331
121,101_1028,2018,1.2891666666666666
122,101_1028,2019,1.3633333333333333
123,101_1028,2020,1.2975000000000003
124,101_1028,2021,1.6716666666666669
125,101_1028,2022,1.8719999999999999
126,101_103,2016,0.7124999999999999
127,101_103,2017,0.7275000000000001
128,101_103,2018,0.7716666666666668
129,101_103,2019,0.8625000000000002
130,101_103,2020,0.9124999999999998
131,101_103,2021,1.09
132,101_103,2022,1.246
133,101_1030,2016,0.9800000000000001
134,101_1030,2017,1.028333333333333
135,101_1030,2018,1.0683333333333331
136,101_1030,2019,1.0958333333333332
137,101_1030,2020,1.1491666666666667
138,101_1030,2021,1.2058333333333333
139,101_1030,2022,1.28
140,101_1031,2016,0.8524999999999997
141,101_1031,2017,0.8908333333333335
142,101_1031,2018,1.0308333333333335
143,101_1031,2019,1.2141666666666668
144,101_1031,2020,1.2691666666666668
145,101_1031,2021,1.3741666666666668
146,101_1031,2022,1.556
147,101_1034,2016,1.0208333333333333
148,101_1034,2017,1.0858333333333337
149,101_1034,2018,1.1316666666666668
150,101_1034,2019,1.1683333333333332
151,101_1034,2020,1.1466666666666665
152,101_1034,2021,1.2833333333333332
153,101_1034,2022,1.306
154,101_1036,2016,0.9608333333333333
155,101_1036,2017,0.9800000000000001
156,101_1036,2018,1.0616666666666668
157,101_1036,2019,1.2425
158,101_1036,2020,1.2891666666666668
159,101_1036,2021,1.3766666666666667
160,101_1036,2022,1.592
161,101_1037,2016,1.0416666666666667
162,101_1037,2017,1.0125
163,101_1037,2018,1.020833333333333
164,101_1037,2019,1.0224999999999997
165,101_1037,2020,1.0450000000000002
166,101_1037,2021,1.0741666666666667
167,101_1037,2022,1.1400000000000001
168,101_1038,2016,0.8983333333333333
169,101_1038,2017,0.9225
170,101_1038,2018,0.9249999999999998
171,101_1038,2019,0.9824999999999999
172,101_1038,2020,1.2908333333333333
173,101_1038,2021,1.4908333333333337
174,101_1038,2022,1.716
175,101_1039,2016,1.185833333333333
176,101_1039,2017,1.2091666666666667
177,101_1039,2018,1.2783333333333335
178,101_1039,2019,1.3283333333333334
179,101_1039,2020,1.3758333333333332
180,101_1039,2021,1.534166666666667
181,101_1039,2022,1.78
182,101_104,2016,1.0458333333333336
183,101_104,2017,1.1158333333333335
184,101_104,2018,1.2433333333333334
185,101_104,2019,1.3516666666666668
186,101_104,2020,1.3866666666666665
187,101_104,2021,1.3633333333333335
188,101_104,2022,1.352
189,101_1040,2016,0.9716666666666667
190,101_1040,2017,0.995
191,101_1040,2018,1.0366666666666668
192,101_1040,2019,1.1308333333333331
193,101_1040,2020,1.215
194,101_1040,2021,1.5858333333333332
195,101_1040,2022,1.954
196,101_1041,2016,1.199166666666667
197,101_1041,2017,1.2916666666666667
198,101_1041,2018,1.2683333333333333
199,101_1041,2019,1.3550000000000002
200,101_1041,2020,1.343333333333333
201,101_1041,2021,1.5675
202,101_1041,2022,1.654
203,101_1042,2016,0.9625000000000002
204,101_1042,2017,1.0458333333333332
205,101_1042,2018,1.1341666666666665
206,101_1042,2019,1.2149999999999999
207,101_1042,2020,1.1458333333333333
208,101_1042,2021,1.3366666666666667
209,101_1042,2022,1.51
210,101_1043,2016,0.9775000000000004
211,101_1043,2017,0.9600000000000001
212,101_1043,2018,0.9733333333333335
213,101_1043,2019,0.9666666666666665
214,101_1043,2020,0.9758333333333334
215,101_1043,2021,1.0483333333333333
216,101_1043,2022,1.062
217,101_1044,2016,0.9866666666666665
218,101_1044,2017,1.0358333333333334
219,101_1044,2018,1.1375
220,101_1044,2019,1.335
221,101_1044,2020,1.4233333333333331
222,101_1044,2021,1.5574999999999999
223,101_1044,2022,1.686
224,101_1045,2016,1.1933333333333334
225,101_1045,2017,1.2449999999999999
226,101_1045,2018,1.289166666666667
227,101_1045,2019,1.3933333333333333
228,101_1045,2020,1.4291666666666665
229,101_1045,2021,1.5075
230,101_1045,2022,1.6320000000000001
231,101_1046,2016,0.8258333333333333
232,101_1046,2017,0.9508333333333333
233,101_1046,2018,1.01
234,101_1046,2019,1.0641666666666667
235,101_1046,2020,0.9483333333333334
236,101_1046,2021,1.05
237,101_1046,2022,1.1460000000000001
238,101_1047,2016,0.9754545454545457
239,101_1047,2017,1.0099999999999998
240,101_1047,2018,1.054166666666667
241,101_1047,2019,1.0683333333333336
242,101_1047,2020,1.0374999999999996
243,101_1047,2021,1.0591666666666668
244,101_1047,2022,1.166
245,101_105,2016,1.205
246,101_105,2017,1.2258333333333336
247,101_105,2018,1.3033333333333335
248,101_105,2019,1.4083333333333332
249,101_105,2020,1.4191666666666667
250,101_105,2021,1.5566666666666666
251,101_105,2022,1.586
252,101_1053,2016,1.0291666666666668
253,101_1053,2017,1.0716666666666665
254,101_1053,2018,1.1583333333333332
255,101_1053,2019,1.2333333333333334
256,101_1053,2020,1.2483333333333333
257,101_1053,2021,1.4341666666666668
258,101_1053,2022,1.426
259,101_1057,2016,0.9641666666666667
260,101_1057,2017,1.01
261,101_1057,2018,1.0508333333333335
262,101_1057,2019,1.0924999999999998
263,101_1057,2020,1.1208333333333336
264,101_1057,2021,1.1549999999999998
265,101_1057,2022,1.286
266,101_1061,2016,0.6399999999999999
267,101_1061,2017,0.6549999999999999
268,101_1061,2018,0.67
269,101_1061,2019,0.7741666666666668
270,101_1061,2020,0.9783333333333334
271,101_1061,2021,1.0433333333333332
272,101_1061,2022,1.052
273,101_1062,2016,0.9975000000000002
274,101_1062,2017,1.044166666666667
275,101_1062,2018,1.0600000000000003
276,101_1062,2019,1.0525
277,101_1062,2020,1.1133333333333333
278,101_1062,2021,1.2333333333333334
279,101_1062,2022,1.35
280,101_1063,2016,0.8883333333333335
281,101_1063,2017,0.9008333333333335
282,101_1063,2018,0.9241666666666667
283,101_1063,2019,1.0041666666666667
284,101_1063,2020,1.0316666666666665
285,101_1063,2021,1.0608333333333335
286,101_1063,2022,1.136
287,101_1064,2016,0.8416666666666665
288,101_1064,2017,0.8700000000000001
289,101_1064,2018,0.8933333333333334
290,101_1064,2019,0.9183333333333333
291,101_1064,2020,0.9358333333333331
292,101_1064,2021,1.02
293,101_1064,2022,1.146
294,101_1067,2016,1.0024999999999997
295,101_1067,2017,1.0291666666666666
296,101_1067,2018,1.07
297,101_1067,2019,1.1091666666666666
298,101_1067,2020,1.1383333333333334
299,101_1067,2021,1.1825
300,101_1067,2022,1.246
301,101_107,2016,0.84
302,101_107,2017,0.8499999999999998
303,101_107,2018,0.9208333333333334
304,101_107,2019,1.0016666666666665
305,101_107,2020,1.0250000000000001
306,101_107,2021,1.2325000000000002
307,101_107,2022,1.3880000000000001
308,101_108,2016,1.3175
309,101_108,2017,1.465
310,101_108,2018,1.4675
311,101_108,2019,1.4225
312,101_108,2020,1.2866666666666664
313,101_108,2021,1.1858333333333333
314,101_108,2022,1.334
315,101_1081,2016,1.361666666666667
316,101_1081,2017,1.4274999999999995
317,101_1081,2018,1.4633333333333332
318,101_1081,2019,1.5666666666666667
319,101_1081,2020,1.6250000000000007
320,101_1081,2021,1.7333333333333332
321,101_1081,2022,1.918
322,101_1083,2016,1.1833333333333331
323,101_1083,2017,1.21
324,101_1083,2018,1.3250000000000002
325,101_1083,2019,1.3933333333333333
326,101_1083,2020,1.3241666666666667
327,101_1083,2021,1.4825
328,101_1083,2022,1.718
329,101_1085,2016,0.6875
330,101_1085,2017,0.6966666666666667
331,101_1085,2018,0.7533333333333333
332,101_1085,2019,0.7466666666666667
333,101_1085,2020,0.7400000000000001
334,101_1085,2021,0.7408333333333333
335,101_1085,2022,0.774
336,101_1086,2016,0.7316666666666666
337,101_1086,2017,0.7725
338,101_1086,2018,0.8050000000000002
339,101_1086,2019,0.8508333333333332
340,101_1086,2020,0.8116666666666669
341,101_1086,2021,1.0016666666666667
342,101_1086,2022,1.088
343,101_1087,2016,0.9833333333333333
344,101_1087,2017,1.0075
345,101_1087,2018,1.0625
346,101_1087,2019,1.104166666666667
347,101_1087,2020,1.1099999999999997
348,101_1087,2021,1.2191666666666665
349,101_1087,2022,1.386
350,101_109,2016,1.114166666666667
351,101_109,2017,1.1391666666666667
352,101_109,2018,1.1824999999999999
353,101_109,2019,1.1600000000000001
354,101_109,2020,1.1091666666666669
355,101_109,2021,1.0916666666666666
356,101_109,2022,1.1460000000000001
357,101_1093,2016,1.6700000000000002
358,101_1093,2017,1.7283333333333333
359,101_1093,2018,1.8374999999999997
360,101_1093,2019,1.8949999999999996
361,101_1093,2020,2.0641666666666665
362,101_1093,2021,2.3125000000000004
363,101_1093,2022,2.716
364,101_1094,2016,1.0216666666666667
365,101_1094,2017,1.0633333333333332
366,101_1094,2018,1.0966666666666665
367,101_1094,2019,1.1358333333333335
368,101_1094,2020,1.2575
369,101_1094,2021,1.5308333333333335
370,101_1094,2022,1.8679999999999999
371,101_1096,2016,0.7758333333333334
372,101_1096,2017,0.8091666666666667
373,101_1096,2018,0.9016666666666667
374,101_1096,2019,0.9058333333333334
375,101_1096,2020,0.9558333333333332
376,101_1096,2021,1.0375
377,101_1096,2022,1.196
378,101_1098,2016,1.0175
379,101_1098,2017,1.0641666666666667
380,101_1098,2018,1.1108333333333333
381,101_1098,2019,1.1833333333333336
382,101_1098,2020,1.1683333333333332
383,101_1098,2021,1.3316666666666666
384,101_1098,2022,1.556
