lat,lon,zipcode
47.19,-122.44,98408
47.26,-122.52,98406
47.27,-122.51,98406
47.27,-122.49,98406
47.27,-122.52,98406
47.27,-122.49,98406
47.24,-122.48,98405
47.24,-122.48,98405
47.24,-122.5,98405
47.23,-122.5,98405
47.19,-122.41,98404
47.19,-122.41,98404
47.26,-122.46,98403
47.27,-122.46,98403
47.25,-122.44,98402
47.25,-122.44,98402
47.17,-122.17,98391
47.17,-122.15,98391
47.17,-122.15,98391
47.17,-122.17,98391
47.24,-122.21,98390
47.2,-122.23,98390
47.2,-122.23,98390
47.07,-122.42,98387
47.65,-122.69,98383
47.65,-122.69,98383
47.69,-122.71,98383
47.66,-122.69,98383
48.08,-123.13,98382
48.08,-123.12,98382
47.1,-122.35,98375
47.1,-122.35,98375
47.11,-122.29,98375
47.1,-122.3,98375
47.1,-122.21,98374
47.12,-122.29,98374
47.16,-122.29,98373
47.16,-122.29,98373
47.15,-122.29,98373
47.14,-122.29,98373
47.14,-122.29,98373
47.18,-122.29,98371
47.2,-122.3,98371
47.2,-122.3,98371
47.76,-122.66,98370
47.74,-122.64,98370
47.74,-122.64,98370
47.5,-122.63,98367
47.5,-122.65,98367
47.54,-122.61,98366
47.52,-122.63,98366
47.52,-122.63,98366
48.11,-123.38,98362
48.12,-123.43,98362
48.11,-122.78,98358
47.25,-122.29,98354
47.25,-122.3,98354
47.25,-122.3,98354
47.81,-122.54,98346
47.81,-122.54,98346
48.03,-122.76,98339
47.05,-122.29,98338
47.05,-122.3,98338
47.57,-122.65,98337
47.57,-122.67,98337
47.56,-122.63,98337
47.3,-122.58,98335
47.3,-122.58,98335
47.3,-122.58,98335
47.36,-122.61,98332
47.36,-122.6,98332
47.36,-122.61,98332
47.09,-122.62,98327
47.09,-122.65,98327
47.2,-121.99,98321
47.2,-121.98,98321
47.2,-121.99,98321
47.63,-122.63,98311
47.62,-122.63,98311
47.61,-122.63,98311
47.6,-122.63,98310
47.84,-122.12,98296
48.18,-122.13,98292
48.24,-122.33,98292
48.24,-122.36,98292
48.24,-122.36,98292
48.29,-122.66,98277
48.29,-122.66,98277
48.3,-122.65,98277
47.91,-122.29,98275
47.89,-122.29,98275
48.45,-122.34,98273
48.44,-122.34,98273
48.42,-122.31,98273
48.44,-122.34,98273
47.86,-121.98,98272
47.86,-121.98,98272
47.86,-121.97,98272
47.86,-121.97,98272
48.15,-122.18,98271
48.15,-122.18,98271
48.15,-122.19,98271
48.1,-122.18,98271
48.09,-122.19,98271
48.15,-122.19,98271
48.09,-122.19,98271
48.05,-122.18,98270
48.09,-122.17,98270
48.06,-122.18,98270
48.05,-122.17,98270
48.08,-122.18,98270
48.93,-122.48,98264
48.93,-122.49,98264
48.84,-122.58,98248
48.47,-122.33,98233
48.51,-122.34,98233
48.47,-122.34,98233
48.77,-122.44,98226
48.79,-122.49,98226
48.77,-122.46,98226
48.77,-122.46,98226
48.8,-122.49,98226
48.73,-122.47,98225
48.71,-122.48,98225
48.73,-122.49,98225
48.76,-122.46,98225
48.79,-122.51,98225
48.79,-122.51,98225
48.74,-122.46,98225
48.75,-122.48,98225
48.77,-122.48,98225
48.51,-122.61,98221
48.51,-122.61,98221
47.88,-122.19,98208
47.9,-122.21,98208
47.88,-122.21,98208
47.88,-122.21,98208
47.88,-122.17,98208
47.88,-122.15,98208
47.93,-122.1,98208
47.93,-122.1,98208
48,-122.11,98205
48,-122.1,98205
48,-122.11,98205
48,-122.1,98205
47.94,-122.11,98205
47.94,-122.11,98205
47.89,-122.26,98204
47.88,-122.24,98204
47.91,-122.23,98204
47.91,-122.23,98204
47.88,-122.28,98204
47.88,-122.28,98204
47.92,-122.23,98203
47.92,-122.23,98203
47.93,-122.22,98203
47.93,-122.22,98203
47.98,-122.2,98201
47.96,-122.21,98201
48,-122.2,98201
47.97,-122.2,98201
47.98,-122.21,98201
47.99,-122.2,98201
47.64,-122.4,98199
47.65,-122.38,98199
47.36,-122.31,98198
47.38,-122.3,98198
47.39,-122.3,98198
47.37,-122.3,98198
47.44,-122.24,98188
47.45,-122.26,98188
47.49,-122.27,98178
47.6,-122.34,98174
47.6,-122.34,98174
47.51,-122.29,98168
47.44,-122.34,98166
47.44,-122.34,98166
47.6,-122.33,98161
47.6,-122.33,98161
47.6,-122.33,98161
47.6,-122.33,98161
47.6,-122.33,98161
47.6,-122.33,98161
47.6,-122.33,98161
47.41,-122.3,98158
47.44,-122.3,98158
47.44,-122.3,98158
47.44,-122.3,98158
47.44,-122.3,98158
47.44,-122.3,98158
47.75,-122.28,98155
47.75,-122.31,98155
47.73,-122.29,98155
47.46,-122.33,98148
47.47,-122.33,98146
47.47,-122.34,98146
47.47,-122.35,98146
47.49,-122.34,98146
47.48,-122.33,98146
47.58,-122.3,98144
47.58,-122.3,98144
47.57,-122.29,98144
47.56,-122.29,98144
47.52,-122.37,98136
47.54,-122.39,98136
47.52,-122.37,98136
47.52,-122.37,98136
47.52,-122.37,98136
47.58,-122.33,98134
47.58,-122.34,98134
47.57,-122.33,98134
47.58,-122.34,98134
47.72,-122.35,98133
47.73,-122.31,98133
47.71,-122.34,98133
47.73,-122.31,98133
47.76,-122.34,98133
47.74,-122.34,98133
47.45,-122.3,98131
47.45,-122.3,98131
47.46,-122.28,98131
47.46,-122.26,98131
47.46,-122.26,98131
47.46,-122.26,98131
47.46,-122.26,98131
47.56,-122.38,98126
47.56,-122.38,98126
47.56,-122.38,98126
47.71,-122.32,98125
47.72,-122.31,98125
47.71,-122.33,98125
47.71,-122.32,98125
47.71,-122.33,98125
47.7,-122.33,98125
47.7,-122.34,98125
47.72,-122.3,98125
47.6,-122.29,98122
47.61,-122.31,98122
47.62,-122.3,98122
47.61,-122.31,98122
47.6,-122.3,98122
