Longitude,Latitude,Zipcode
-118.815736391,34.1549388720001,91362
-118.184164805,34.023647302,90023
-118.325234871,34.0963913570001,90028
-117.967437788,34.063038932,91706
-118.148402965,33.8597066200001,90712
-117.992667657,34.1487586590001,91016
-118.138262231,34.0494660590001,91754
-118.356096947,33.823914464,90505
-117.553858035,33.8580833070001,92879
-120.545743987,41.4800562550001,96101
-121.645983804,36.659030456,93901
-117.833891865,33.7827271730001,92866
-117.831055631,33.7474607400001,92780
-117.893948792,33.934495886,92821
-117.995255963,33.7635332090001,92683
-119.348234528,36.320843946,93277
-82.005057392,30.845275348,31537
-91.794523853,30.006906977,70563
-95.4388993059999,31.32360364,75835
-92.4401351129999,31.3273789420001,71360
-92.656648681,32.8239916700001,71222
-92.4056258479999,32.776127934,71241
-91.4260669829999,31.5611748630001,71373
-92.094448206,32.0773298010001,71418
-83.118972365,34.2832503650001,30662
-118.193389929,33.8070928700001,90806
-122.164654518,37.706406198,94577
-118.162267066,33.8846318610001,90723
-118.067989672,33.928031349,90650
-89.3491079999999,38.084846,62274
-81.154556369,31.985430321,31419
-84.3365069879999,32.886297701,30286
-84.2560501999999,32.0669623380001,31719
-84.6923449,32.887980741,31830
-84.757746692,33.3848346460001,30265
-65.95579,18.3804430000001,984
-87.924827084,44.522712261,54311
-88.037265823,43.0358121520001,53226
-66.154391259,18.3676556610001,956
-92.481987814,31.252191558,71301
-90.565253898,29.7026714240001,70394
-91.210660488,30.832635688,70748
-90.03069185,29.865979474,70056
-88.817751529,43.8343760920001,54971
-71.4331495449999,41.8321390840001,2908
-90.493319014,44.00308068,54660
-89.681831276,45.1756325370001,54452
-122.411974107,40.586595392,96001
-120.452188325,34.6353716090001,93436
-84.660699774,32.08616827,31825
-117.60859933,34.0320795600001,91761
-117.251636776,34.047305635,92354
-117.277019975,34.1346723570001,92404
-117.095159549,32.7915625750001,92120
-117.24287107,32.896858901,92037
-117.284183383,33.0373447760001,92024
-117.154977819,32.7982957780001,92123
-117.165731384,32.754770233,92103
-122.456030633,37.786509197,94118
-122.431294533,37.7907045380001,94115
-122.453751642,37.77408876,94117
-122.72706436,38.471793006,95403
-122.248377304,38.12690208,94589
-121.792145249,38.663925024,95695
-122.26400415,37.8201396110001,94609
-122.143493689,37.712288347,94578
-122.087912534,37.6334419930001,94545
-121.291070926,37.9765963,95204
-121.288182762,37.970467188,95204
-117.871259716,34.132654576,91741
-118.256643169,34.128165628,91204
-118.294175331,34.0985736490001,90027
-118.430219294,34.2185641940001,91402
-118.531904059,34.170393216,91356
-118.286392079,34.067204777,90020
-118.079677951,33.833640007,90716
-122.620144532,38.935618855,95422
-119.800242412,36.8840478340001,93636
-116.406241091,33.7633520680001,92270
-121.946576875,37.252078736,95124
-121.998873047,37.3354013750001,95051
-122.175390036,37.436004575,94304
-122.223390131,37.488847836,94063
-122.033496796,37.9830895790001,94520
-121.802978505,37.9822344500001,94509
-121.393144026,38.601797751,95825
-121.047499779,39.228016294,95945
-118.038302332,33.8475141810001,90623
-117.650183918,33.457065243,92673
-121.618012022,39.143106319,95991
-84.412912891,34.4582486800001,30143
-83.4052524589999,33.9472213170001,30606
-84.51105483,33.8564432910001,30080
-71.825303241,41.3621890750001,2891
-89.401429215,43.0593384640001,53715
-88.007716433,43.046765098,53213
-88.94122636,43.9784771540001,54923
-94.18297802,36.3089928530001,72758
-92.642578117,45.4090324310001,54024
-92.555500378,45.1177607480001,54017
-87.747537955,43.7623479010001,53081
-90.888391278,43.551673973,54665
-118.13090396,33.9343517980001,90241
-118.359721519,33.8393481160001,90503
-117.264094455,34.050130832,92354
-88.601045493,44.0124207170001,54904
-77.0752545729999,38.9119585080001,20007
-82.2007200799999,28.3479628600001,33525
-80.127787747,26.4371928410001,33484
