,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
6899,1_356,1,Phoenix,2N,North Paradise Valley,Maricopa,Stonebridge at Paradise Valley,Villa Encanto,4315 East Thunderbird Road,Phoenix,AZ,85032,33.61107,-111.987926,6027874500.0,385,310954.0,20.855,B,B,Completed,,,,1985-01-01,0.0,,N,N,N,N,,,,96.9,1679.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=356,040131032102001,04013103210
6900,1_361,1,Phoenix,2N,North Paradise Valley,Maricopa,Desert Horizons,"Broadstone Desert Horizons, Broadstone Arabian Trails",16636 North 58th Street,Scottsdale,AZ,85254,33.63941,-111.95666,6029715565.0,514,463840.0,22.54,B,B+,Completed,,,,1986-08-01,0.0,,,N,,N,,,,97.1,1694.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=361,040131032174001,04013103217
6901,1_365927,1,Phoenix,16N,North Tempe,Maricopa,"Cameron, The",,2062 East Cameron Way,Tempe,AZ,85281,33.43389,-111.898976,4805907300.0,349,311016.0,7.19,A-,B+,Completed,2017-09-07,2018-07-13,2019-10-14,2020-09-21,0.0,,N,N,N,N,,0.0,,95.7,2307.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=365927,040133184006006,04013318400
6902,1_367390,1,Phoenix,21E,Union Hills,Maricopa,Maxwell on 66th,,6611 East Mayo Blvd,Phoenix,AZ,85054,33.654987,-111.937558,6028068524.0,349,328052.0,91.89,A,B+,Completed,2017-09-29,2018-06-01,2019-09-06,2020-07-23,0.0,,N,N,N,N,,0.0,,93.7,2446.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=367390,040136152012014,04013615201
6903,1_367479,1,Phoenix,18S,Superstition Springs,Maricopa,San Villante,,4760 East Baseline Road,Mesa,AZ,85206,33.380224,-111.731764,4805974500.0,348,401756.0,13.44,A-,B+,Completed,2017-10-01,2019-01-18,2020-01-01,2021-01-04,0.0,,N,N,N,N,,0.0,,94.8,2243.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=367479,040134226362000,04013422636
6904,1_37,1,Phoenix,6,Glendale,Maricopa,Country Creek,Americana Glendale,7111 North 75th Avenue,Glendale,AZ,85303,33.540617,-112.21863,6238420411.0,336,212440.0,13.115,C,C,Completed,,,,1985-01-01,0.0,,N,N,N,N,,,,95.2,1146.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=37,040130927051024,04013092705
6905,1_373781,1,Phoenix,19E,Gilbert,Maricopa,Sky at Chandler Airpark,,1441 East Germann Road,Chandler,AZ,85286,33.276028,-111.817165,4809002906.0,504,483006.0,28.56,A,B-,Completed,2018-01-12,2018-03-17,2019-01-15,2020-06-05,0.0,,N,N,N,N,,,,97.0,1982.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=373781,040138124006007,04013812400
6906,1_376521,1,Phoenix,1N,North Scottsdale,Maricopa,San Artes,Princess Hayden,17900 North Hayden Road,Scottsdale,AZ,85255,33.648469,-111.908463,4809331747.0,552,0.0,30.63,,A,Under Construction,2018-02-14,2020-02-10,2021-06-01,2023-03-31,0.0,,N,N,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=376521,040132168452001,04013216845
6907,1_377333,1,Phoenix,19E,Gilbert,Maricopa,Aiya,,2350 South Wade Drive,Gilbert,AZ,85295,33.307978,-111.71462,4805367666.0,360,314985.0,15.9,,B,Under Construction,2018-02-13,2018-11-01,2020-11-13,2022-03-31,0.0,,N,N,N,N,,0.0,,,2107.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=377333,040138152022011,04013815202
6908,1_377349,1,Phoenix,14,Sky Harbor,Maricopa,X Phoenix,"Society Phoenix, North 2nd Avenue & West Monroe Street",200 West Monroe Street,Phoenix,AZ,85003,33.450701,-112.076965,6028871131.0,330,265084.0,2.07,,B,Under Construction,2019-03-20,2019-10-15,,2022-03-31,,,N,N,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=377349,040131141001008,04013114100
