,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
10,36_1269,36,Austin,20.0,Hyde Park,Travis,St. Johns Square,"Mi Casa, Las Brisas",7200 Duval Street,Austin,TX,78752,30.334486,-97.707263,5129604497.0,63,43889.0,1.59,C,B-,Completed,,,,1969-01-01,0.0,,N,N,N,N,,,,77.8,1075.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1269,484530400001003,48453040000
11,36_1293,36,Austin,18.0,Eubank Acres - south,Travis,Short Hills North,"Trifecta Square, Village Park",8033 Gessner Drive,Austin,TX,78753,30.344076,-97.702,5126403443.0,52,35320.0,1.53,C+,C+,Completed,,,,1979-01-01,0.0,,N,N,N,N,,,,100.0,1051.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1293,484530400003003,48453040000
12,36_1294,36,Austin,18.0,Eubank Acres - south,Travis,Short Hills South,Haven East,8001 Gessner Drive,Austin,TX,78753,30.343694,-97.702196,5126403443.0,56,25520.0,1.54,C,C+,Completed,,,,1984-01-01,0.0,,N,N,N,N,,,,96.4,984.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1294,484530400003003,48453040000
13,36_1312,36,Austin,19.0,Walnut Forest,Travis,Park Plaza,,829 Park Plaza Drive,Austin,TX,78753,30.350521,-97.691809,5126472242.0,62,47428.0,2.27,C+,C+,Completed,,,,1982-01-01,0.0,,N,N,N,N,,,,91.9,1244.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1312,484530403004005,48453040300
14,36_1314235,36,Austin,17.0,Abercrombie,Travis,Burnet Place,,8007 Burnet Road,Austin,TX,78757,30.358451695217,-97.7295023313334,,61,21777.0,,,B+,Planned,2021-03-10,,,,,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1314235,484530405003009,48453040500
15,36_1314628,36,Austin,35.0,Elgin,Bastrop,Juniper Ridge,,County Line Road & FM 1100,Elgin,TX,78621,30.3634055117417,-97.4050498599933,,56,0.0,,,B,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1314628,484530458001054,48453045800
16,36_1314880,36,Austin,29.0,East Central Austin,Travis,Two Worlds,,6905 East Riverside Drive,Austin,TX,78741,30.2220095,-97.6975168,,52,0.0,0.81,,B-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1314880,484530023201008,48453002320
17,36_1315240,36,Austin,43.0,Outlying Williamson County,Williamson,Stubblefield Park,,304 Stubblefield Lane,Liberty Hill,TX,78642,30.66095512,-97.92476479,5129151304.0,54,47800.0,5.41,B-,B-,Completed,,,,2016-01-01,0.0,,N,N,N,N,,,,100.0,1370.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1315240,484910203302003,48491020330
18,36_1318433,36,Austin,34.0,Daffan,Travis,"Lexington at West Boyce Manor, The",,109 South Lexington Street,Manor,TX,78653,30.34132,-97.55777,,50,0.0,,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1318433,484530022172072,48453002217
19,36_1318494,36,Austin,20.0,Hyde Park,Travis,Cady Lofts,,East 39th Street & North Interstate Hwy 35,Austin,TX,78751,30.296338,-97.720091,,64,0.0,,,B+,Prospective,,,,,,,,,,,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1318494,484530003021015,48453000302
20,36_1323348,36,Austin,38.0,San Marcos/Kyle,Hays,Picoma San Marcos,,Redwood Road & State Highway 123,San Marcos,TX,78666,29.843402,-97.939949,,50,0.0,30.19,,C+,Prospective,,,,,,,N,N,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1323348,482090104021018,48209010402
21,36_1323416,36,Austin,17.0,Abercrombie,Travis,901 Stobaugh Street,,901 Stobaugh Street,Austin,TX,78757,30.34651,-97.71491,,54,0.0,1.0,,B,Planned,2021-07-13,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1323416,484530015041005,48453001504
22,36_1333859,36,Austin,32.0,Sunset Valley,Travis,Shelby Ranch,,2210 Lynnbrook Drive,Austin,TX,78748,30.16641,-97.833293,,50,0.0,,,B,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1333859,484530319003027,48453031900
23,36_1334706,36,Austin,32.0,Sunset Valley,Travis,Casata Austin,,10400 Old Manchaca Road,Austin,TX,78748,30.1691067532931,-97.8310164599978,5125183434.0,60,41917.0,6.17,,B,Under Construction,,2021-04-30,2021-07-01,2022-02-28,0.0,,N,,N,N,,0.0,1.0,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1334706,484530319003028,48453031900
24,36_134,36,Austin,38.0,San Marcos/Kyle,Hays,Asbury Place,,1350 Wonder World Drive,San Marcos,TX,78666,29.85148,-97.946902,5128057045.0,64,72448.0,7.05,B,B,Completed,,,,2000-01-01,0.0,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=134,482090104023003,48209010402
25,36_1357,36,Austin,19.0,Walnut Forest,Travis,Oaks on North Plaza,North Plaza,9125 North Plaza,Austin,TX,78753,30.35402,-97.684499,5128362303.0,62,51321.0,4.99,B-,C+,Completed,,,,1979-01-01,0.0,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1357,484530403002003,48453040300
26,36_1400,36,Austin,18.0,Eubank Acres - south,Travis,Woodland Corners,,9008 Galewood Drive,Austin,TX,78758,30.367194,-97.715354,5128213134.0,62,40300.0,1.45,C,B-,Completed,,,,1973-01-01,0.0,,N,N,N,N,,,,96.8,1033.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1400,484530407003003,48453040700
27,36_1428,36,Austin,17.0,Abercrombie,Travis,Shoal Creek North,,8605 Shoal Creek Blvd,Austin,TX,78757,30.371666,-97.73716,5124522873.0,52,38920.0,1.91,C+,B,Completed,,,,1972-01-01,0.0,,N,N,N,N,,0.0,,100.0,1272.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1428,484530404003009,48453040400
28,36_1489,36,Austin,12.0,Jollyville - south,Travis,"Springs Garden Homes, The","Springs, The, Springs Garden",4716 Duval Road,Austin,TX,78727,30.414367,-97.735212,5123463915.0,60,63162.0,6.99,B,A,Completed,,,,1983-01-01,0.0,,N,N,N,N,,,,96.7,1538.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1489,484530316002003,48453031600
29,36_152,36,Austin,38.0,San Marcos/Kyle,Hays,Mosscliff,,1637 Post Road,San Marcos,TX,78666,29.901704,-97.916223,5123532026.0,60,56010.0,3.04,B-,B-,Completed,,,,1984-01-01,0.0,,N,N,N,N,,,,93.3,947.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=152,482090107021005,48209010702
30,36_1622,36,Austin,29.0,East Central Austin,Travis,Burl North,Tres Agaves,2507 Burleson Road,Austin,TX,78741,30.228444,-97.735316,5124411999.0,50,31580.0,1.21,B-,C+,Completed,,,,1984-01-01,0.0,,N,N,N,N,,,,96.0,1093.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1622,484530023132000,48453002313
31,36_1680,36,Austin,28.0,Downtown - south,Travis,Tambaleo,"Tambaleo 2207, Pastures",2207 South 5th Street,Austin,TX,78704,30.2451321,-97.7637759,5122159763.0,63,36640.0,1.55,B-,B-,Completed,,,,1973-01-01,0.0,,N,N,N,N,,,,95.2,1311.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1680,484530013121017,48453001312
32,36_1685,36,Austin,28.0,Downtown - south,Travis,Oak Creek Village,,2302 Durwood Street,Austin,TX,78704,30.242869,-97.757104,5124336321.0,65,53040.0,4.95,C+,B-,Completed,,1970-01-01,,1970-01-01,0.0,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1685,484530013122026,48453001312
33,36_1747,36,Austin,28.0,Downtown - south,Travis,SoCo at Alpine,,3504 Alpine Circle,Austin,TX,78704,30.229932,-97.762704,7372104552.0,59,32000.0,1.35,C,C+,Completed,,,,1972-01-01,0.0,,N,N,N,N,,,,91.5,1153.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1747,484530013081000,48453001308
34,36_177,36,Austin,38.0,San Marcos/Kyle,Hays,Florencia Villas,Greystone,1109 San Marcos Pkwy,San Marcos,TX,78666,29.857704,-97.949775,5123378767.0,64,64000.0,2.91,B,B-,Completed,,,,1980-01-01,0.0,,N,N,N,N,,,,95.3,1078.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=177,482090104013002,48209010401
35,36_1781,36,Austin,28.0,Downtown - south,Travis,SoCo 121,Lindy's Landing,121 Woodward Street,Austin,TX,78704,30.229315,-97.759865,5129920888.0,52,31200.0,1.39,C,C+,Completed,,,,1985-01-01,0.0,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1781,484530023221000,48453002322
36,36_1785,36,Austin,28.0,Downtown - south,Travis,Oak Grove,,3625 South 1st Street,Austin,TX,78704,30.2292712,-97.7655457,5122361512.0,62,48330.0,3.55,B,B-,Completed,,,,1978-01-01,0.0,,N,N,N,N,,,,100.0,1330.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=36&PropertyID=1785,484530013081002,48453001308
