,Zipcode,Area,State,Region
209,32547,34.94,FL,FL
210,32548,13.0,FL,FL
211,32550,6.68,FL,FL
212,32561,11.79,FL,FL
213,32563,16.62,FL,FL
214,32564,91.19,FL,FL
215,32565,230.69,FL,FL
216,32566,40.25,FL,FL
217,32567,139.37,FL,FL
218,32568,155.95,FL,FL
219,32569,4.05,FL,FL
220,32570,319.39,FL,FL
221,32571,104.01,FL,FL
222,32577,66.39,FL,FL
223,32578,24.07,FL,FL
224,32579,4.35,FL,FL
225,32580,12.49,FL,FL
226,32583,144.45,FL,FL
227,32601,4.53,FL,FL
228,32603,1.37,FL,FL
229,32605,10.01,FL,FL
230,32606,17.09,FL,FL
231,32607,11.82,FL,FL
232,32608,39.0,FL,FL
233,32609,112.3,FL,FL
234,32615,138.69,FL,FL
235,32617,29.55,FL,FL
236,32618,90.89,FL,FL
237,32619,118.21,FL,FL
238,32621,73.36,FL,FL
239,32622,60.87,FL,FL
240,32625,84.74,FL,FL
241,32626,204.13,FL,FL
242,32628,103.53,FL,FL
243,32631,1.86,FL,FL
244,32640,208.89,FL,FL
245,32641,49.15,FL,FL
246,32643,117.1,FL,FL
247,32648,60.1,FL,FL
248,32653,39.07,FL,FL
249,32656,56.31,FL,FL
250,32666,54.58,FL,FL
251,32667,93.08,FL,FL
252,32668,121.5,FL,FL
253,32669,103.53,FL,FL
254,32680,249.88,FL,FL
255,32686,73.92,FL,FL
256,32693,205.46,FL,FL
257,32694,26.76,FL,FL
258,32696,146.87,FL,FL
259,32701,5.62,FL,FL
260,32702,56.45,FL,FL
261,32703,50.76,FL,FL
262,32707,9.69,FL,FL
263,32708,18.44,FL,FL
264,32709,116.73,FL,FL
265,32712,59.64,FL,FL
266,32713,20.67,FL,FL
267,32714,8.54,FL,FL
268,32720,62.78,FL,FL
269,32724,94.81,FL,FL
270,32725,22.91,FL,FL
271,32726,12.22,FL,FL
272,32730,1.19,FL,FL
273,32732,56.09,FL,FL
274,32735,3.79,FL,FL
275,32736,105.39,FL,FL
276,32738,25.86,FL,FL
277,32744,13.42,FL,FL
278,32746,22.07,FL,FL
279,32750,10.3,FL,FL
280,32751,7.03,FL,FL
281,32754,138.41,FL,FL
