,state,county,tract,region,ALAND
0,12,001,12001000200,Florida,74073836.63636364
1,12,001,12001000301,Florida,2479034.0
2,12,001,12001000302,Florida,3819522.0
3,12,001,12001000400,Florida,6010490.0
4,12,001,12001000500,Florida,3917560.0
5,12,001,12001000600,Florida,7590802.0
6,12,001,12001000700,Florida,22450708.0
7,12,001,12001000806,Florida,949560.0
8,12,001,12001000808,Florida,2637624.0
9,12,001,12001000809,Florida,1895352.0
10,12,001,12001000901,Florida,2210159.0
11,12,001,12001000902,Florida,2033894.0
12,12,001,12001001000,Florida,5635554.0
13,12,001,12001001100,Florida,7797946.0
14,12,001,12001001201,Florida,2801196.0
15,12,001,12001001202,Florida,5862250.0
16,12,001,12001001203,Florida,3146999.0
17,12,001,12001001400,Florida,20940352.0
18,12,001,12001001514,Florida,1617727.0
19,12,001,12001001515,Florida,1550523.0
20,12,001,12001001516,Florida,524639.0
21,12,001,12001001517,Florida,1508688.0
22,12,001,12001001519,Florida,1962044.0
23,12,001,12001001520,Florida,74073836.63636364
24,12,001,12001001521,Florida,74073836.63636364
25,12,001,12001001603,Florida,74073836.63636364
26,12,001,12001001604,Florida,74073836.63636364
27,12,001,12001001701,Florida,7918344.0
28,12,001,12001001702,Florida,7520643.0
29,12,001,12001001801,Florida,74073836.63636364
30,12,001,12001001802,Florida,78183974.0
31,12,001,12001001803,Florida,8326486.0
32,12,001,12001001805,Florida,74073836.63636364
33,12,001,12001001806,Florida,74073836.63636364
34,12,001,12001001811,Florida,14048700.0
35,12,001,12001001813,Florida,19561968.0
36,12,001,12001001814,Florida,74073836.63636364
37,12,001,12001001902,Florida,19712002.0
38,12,001,12001001907,Florida,136949785.0
39,12,001,12001001908,Florida,270308553.0
40,12,001,12001002000,Florida,74073836.63636364
41,12,001,12001002101,Florida,166362889.0
42,12,001,12001002102,Florida,57799970.0
43,12,001,12001002201,Florida,86997126.0
44,12,001,12001002202,Florida,112551690.0
45,12,001,12001002204,Florida,32306361.0
46,12,001,12001002205,Florida,74073836.63636364
47,12,001,12001002207,Florida,5274493.0
48,12,001,12001002208,Florida,10500223.0
49,12,001,12001002209,Florida,123592710.0
50,12,001,12001002210,Florida,148112039.0
51,12,001,12001002217,Florida,1739103.0
52,12,001,12001002218,Florida,1645358.0
53,12,001,12001002219,Florida,8311509.0
54,12,001,12001002220,Florida,19264834.0
55,12,001,12001110800,Florida,6761866.0
56,12,003,12003040101,Florida,75837684.0
57,12,003,12003040102,Florida,258598929.0
58,12,003,12003040201,Florida,1053259060.0
59,12,003,12003040202,Florida,128043298.0
60,12,005,12005000201,Florida,506532652.0
61,12,005,12005000202,Florida,86754635.77777778
62,12,005,12005000300,Florida,86754635.77777778
63,12,005,12005000400,Florida,86754635.77777778
64,12,005,12005000500,Florida,337874718.0
65,12,005,12005000600,Florida,54190724.0
66,12,005,12005000700,Florida,114529713.0
67,12,005,12005000803,Florida,9329325.0
68,12,005,12005000804,Florida,5139279.0
69,12,005,12005000805,Florida,3551651.0
70,12,005,12005000806,Florida,6725433.0
71,12,005,12005000900,Florida,4904033.0
72,12,005,12005001000,Florida,3856584.0
73,12,005,12005001100,Florida,5080135.0
74,12,005,12005001200,Florida,6877963.0
75,12,005,12005001301,Florida,11199179.0
76,12,005,12005001302,Florida,13085746.0
77,12,005,12005001402,Florida,9307010.0
78,12,005,12005001403,Florida,2029906.0
79,12,005,12005001404,Florida,8383040.0
80,12,005,12005001501,Florida,8636585.0
81,12,005,12005001502,Florida,7429706.0
82,12,005,12005001600,Florida,5717101.0
83,12,005,12005001700,Florida,3028280.0
84,12,005,12005001800,Florida,1970942.0
85,12,005,12005001900,Florida,3493618.0
86,12,005,12005002000,Florida,3808049.0
87,12,005,12005002200,Florida,4230873.0
88,12,005,12005002300,Florida,2908805.0
89,12,005,12005002400,Florida,4226743.0
90,12,005,12005002500,Florida,4003669.0
91,12,005,12005002601,Florida,86754635.77777778
92,12,005,12005002603,Florida,86754635.77777778
93,12,005,12005002604,Florida,5608715.0
94,12,005,12005002605,Florida,1233949.0
95,12,005,12005002606,Florida,1223062.0
96,12,005,12005002607,Florida,8096669.0
97,12,005,12005002608,Florida,5823046.0
98,12,005,12005002701,Florida,86754635.77777778
99,12,005,12005002702,Florida,86754635.77777778
